United States Merchant Marine Academy,"Merchant Marine, Kings Point",usmma.edu
Metropolitan State College of Denver,Metro State,msudenver.edu
Mount Holyoke College,MHC,MoHo,mtholyoke.edu
University of Wisconsin–Milwaukee,Milwaukee,uwm.edu
Missouri University of Science and Technology,Missouri S&T,mst.edu
Massachusetts Institute of Technology,MIT,web.mit.edu
University of Missouri,Mizzou,missouri.edu
Marymount Manhattan College,MMC,mmm.edu
Mt. San Antonio College,Mt. SAC,mtsac.edu
Michigan State University,MSU,msu.edu
Mississippi State University,MSU,msstate.edu
Missouri State University,MSU,missouristate.edu
Morehead State University,MSU,moreheadstate.edu
Murray State University,MSU,murraystate.edu
Montana State University,MSU
Montclair State University,MSU,montclair.edu
Mountain State University,MSU,mountainstate.edu
Morgan State University,MSU,morgan.edu
University of Missouri,MSU,missouri.edu
Middle Tennessee State University,MTSU,mtsu.edu
Michigan Technological University,MTU,mtu.edu
Miami University,MU,miamioh.edu
Marymount University,MU,marymount.edu
University of Missouri,MU,missouri.edu
Misericordia University,MU,misericordia.edu
Millersville University,MU,millersville.edu
Mercyhurst University,MU,mercyhurst.edu
Harvey Mudd College,Mudd,hmc.edu
Manhattanville College,MVille,mville.edu
Mississippi Valley State University,MVSU,mvsu.edu
Mississippi University for Women,MUW,muw.edu
United States Naval Academy,Navy,usna.edu
Northern Arizona University,NAU,nau.edu
National American University,NAU,national.edu
North Carolina Central University,NCCU,nccu.edu
North Carolina State University,NCSU,ncsu.edu
North Carolina A&T State University,NC A&T,ncat.edu
University of North Dakota,ND,und.edu
University of Notre Dame,ND,nd.edu
North Dakota State University,NDSU,ndsu.edu
Northeastern University,NE,northeastern.edu
New College of Florida,New College,NCF,ncf.edu
Northern Illinois University,NIU,niu.edu
Northern Kentucky University,NKU,nku.edu
New Mexico State University,NMSU,nmsu.edu
Northern Michigan University,NMU,nmu.edu
University of North Dakota,NoDak,und.edu
Northern Virginia Community College,Nova,nvcc.edu
Villanova University,Nova,villanova.edu
Norfolk State University,NSU,nsu.edu
Northern State University,NSU,northern.edu
Northeastern State University,NSU,nsuok.edu
Northwestern State University,NSU,nsula.edu
Nova Southeastern University,NSU,nova.edu
Northeastern University,NU,northeastern.edu
University of Nebraska-Lincoln,NU,unl.edu
Niagara University,NU,niagara.edu
Northwestern University,NU,northwestern.edu
Norwich University,NU,norwich.edu
Northern Vermont University,NVU,northernvermont.edu
Northwestern University,NW,northwestern.edu
Northwest Missouri State University,NWMSU,nwmissouri.edu
New York Institute of Technology,NYIT,nyit.edu
New York Medical College,NYMC,NYMC.edu
New York University,NYU
Oklahoma Christian University,OC,oc.edu
Orange Coast College,OCC,orangecoastcollege.edu
Oklahoma City University,OCU,okcu.edu
Ohio Dominican University,ODU,ohiodominican.edu
Old Dominion University,ODU,odu.edu
Oregon Institute of Technology,OIT,oit.edu
Oklahoma State University,OK State,go.okstate.edu
University of Mississippi,Ole Miss,olemiss.edu
Ohio Northern University,ONU,onu.edu
Oral Roberts University,ORU,oru.edu
The Ohio State University,OSU,osu.edu
Oklahoma State University,OSU,go.okstate.edu
Oregon State University,OSU,oregonstate.edu
Oakland University,OU,oakland.edu
Ohio University,OU,ohio.edu
University of Oklahoma,OU,ou.edu
Oakwood University,OU,oakwood.edu
Occidental College,Oxy,Oxy.edu
University of the Pacific (United States),Pacific,pacific.edu
Providence College,PC,providence.edu
Pasadena City College,PCC,pasadena.edu
Pensacola Christian College,PCC,pcci.edu
Pima Community College,PCC,pima.edu
Polk Community College,PCC,polk.edu
Portland Community College,PCC,pcc.edu
