"California State University, Northridge",Matadors,Northridge,csun.edu
"California State University, San Bernardino",Coyotes,San Bernardino,csusb.edu
"California State University, San Diego",Aztecs,San Diego,sdsu.edu
"California State University, San Francisco",Gators,San Francisco,sfsu.edu
"California State University, San Jose",Spartans,San Jose,sjsu.edu
"California State University, Sacramento",Hornets,Sacramento,csus.edu
"California State University, Sonoma",Seawolves,Rohnert Park,sonoma.edu
"California State University, Stanislaus",Warriors,Turlock,csustan.edu
California University of Pennsylvania,Vulcans,California,calu.edu
Calvin College,Knights,Grand Rapids,calvin.edu
Campbell University,Fighting Camels,Lady Camels,Buies Creek,campbell.edu
Campbellsville University,Campbellsville,campbellsville.edu
Canisius College,Golden Griffins,Lady Griffins,Buffalo,canisius.edu
Capital University,Bexley,capital.edu
Cardinal Stritch University,,Milwaukee,stritch.edu
Carleton College,Knights,Northfield,carleton.edu
Carnegie Mellon University,Tartans,Pittsburgh,cmu.edu
Carroll College,Fighting Saints,Helena,carroll.edu
Carson-Newman College,Eagles,Jefferson City,cn.edu
Carthage College,Red Men,Lady Reds,Kenosha,carthage.edu
Case Western Reserve University,Spartans,Cleveland,case.edu
Castleton State College,Spartans,Castleton,castleton.edu
The Catholic University of America,Cardinals,Washington,Catholic.edu
Cazenovia College,Wildcats,Cazenovia,cazenovia.edu
Centenary College of Louisiana,Gentlemen,Ladies,Shreveport,centenary.edu
University of Central Arkansas,Bears,Sugar Bears,Conway,uca.edu
Central Connecticut State University,Blue Devils,New Britain,ccsu.edu
College of Central Florida,Patriots,Ocala,cf.edu
University of Central Florida,Knights,Orlando,ucf.edu
Central College (Iowa),Dutch,Pella,central.edu
Central Methodist University,Eagles,Fayette,centralmethodist.edu
Central Michigan University,Chippewas,Mount Pleasant,cmich.edu
University of Central Missouri,Warrensburg,ucmo.edu
University of Central Oklahoma,Bronchos,Edmond,uco.edu
Central Washington University,Wildcats,Ellensburg,cwu.edu
Centre College,Danville,centre.edu
Cerritos College,Falcons,Norwalk,cerritos.edu
Chadron State College,Eagles,Chadron,csc.edu
Chaminade University of Honolulu,Silverswords,Honolulu,chaminade.edu
Chapman University,Panthers,Orange,chapman.edu
College of Charleston,Cougars,Charleston,cofc.edu
Chatham University,Cougars,Pittsburgh,chatham.edu
University of Charleston,Golden Eagles,Charleston,ucwv.edu
Charleston Southern University,Buccaneers,North Charleston,charlestonsouthern.edu
Chestnut Hill College,Griffins,Philadelphia,chc.edu
Cheyney University of Pennsylvania,Wolves,Cheyney,cheyney.edu}
University of Chicago,Maroons,Chicago,uchicago.edu
Chicago State University,Cougars,Chicago,csu.edu
Chipola College,Marianna,chipola.edu
Christian Brothers University,Buccaneers,Lady Buccaneers,Memphis,cbu.edu
Christopher Newport University,Captains,Newport News,cnu.edu
University of Cincinnati,Bearcats,Cincinnati,uc.edu
Cincinnati Christian University,Cincinnati,ccuniversity.edu
"The Citadel, The Military College of South Carolina",Bulldogs,citadel.edu
Clarion University of Pennsylvania,Golden Eagles,Clarion,clarion.edu
